model,outcome,term,coefficient,std_error,p_value,ci_low,ci_high,n,r_squared,adjusted_r_squared,hc_type,ego_fixed_effects
M1,clustering,similarity_jaccard_mean,0.03923363076956573,0.04702376986967838,0.40409159045072707,-0.05293126459230365,0.1313985261314351,4099,0.0002248260102468702,-1.9200148891451718e-05,HC3,False
M2,clustering,similarity_jaccard_mean,0.07938304488491134,0.03882202724040925,0.04087518040107338,0.0032932696868763073,0.15547282008294638,4099,0.24928166482103087,0.24726113590325038,HC3,True
M2,clustering,log_degree,-0.08508355545569782,0.0031337375449598352,2.475944295546826e-162,-0.09122556818082006,-0.07894154273057558,4099,0.24928166482103087,0.24726113590325038,HC3,True
M3,log_betweenness,diversity_complement,0.014645988360915801,0.005237012128014113,0.005163853640877503,0.004381633203408671,0.02491034351842293,4099,0.0016848711342293266,0.0014412013444158323,HC3,False
M4,log_betweenness,diversity_complement,0.017165783332563626,0.0057980773901168,0.0030704121508402208,0.0058017604683587055,0.028529806196768547,4099,0.035357219131862516,0.032760920969506335,HC3,True
M4,log_betweenness,log_degree,0.00483373658164334,0.0013968038429141353,0.0005390343505293638,0.002096051356064492,0.0075714218072221885,4099,0.035357219131862516,0.032760920969506335,HC3,True
M5,participation_coefficient,diversity_complement,0.2922350413178004,0.0400608025554974,2.9913084400186023e-13,0.21371731111725537,0.3707527715183455,4099,0.22912055889841265,0.2270457671557854,HC3,True
M5,participation_coefficient,log_degree,-0.012781969790300864,0.0035376024811373972,0.000302472739081265,-0.019715543244949698,-0.005848396335652029,4099,0.22912055889841265,0.2270457671557854,HC3,True
M6,communities_reached,diversity_complement,0.6243218251681923,0.06960191458877595,2.967987985521222e-19,0.48790457931915854,0.7607390710172262,4099,,,HC3,True
M6,communities_reached,log_degree,0.20903018104938642,0.005981998942811675,1.6426321658051465e-267,0.19730567856591885,0.220754683532854,4099,,,HC3,True
