specification,outcome,predictor,coefficient,std_error,p_value,ci_low,ci_high,n
Similarity: similarity_jaccard_mean,clustering,similarity_jaccard_mean,0.07938304488491134,0.03882202724040925,0.04087518040107338,0.0032932696868763073,0.15547282008294638,4099
Similarity: similarity_cosine_mean,clustering,similarity_cosine_mean,0.04259428088012474,0.03261434569011676,0.19155312679167114,-0.021328662051843243,0.10651722381209272,4099
Similarity: similarity_birthday_mean,clustering,similarity_birthday_mean,0.22628269926328526,0.014408071542434077,1.3917692778612466e-55,0.198043397953438,0.2545220005731325,4009
Similarity: similarity_education_mean,clustering,similarity_education_mean,0.10904463134999978,0.02087976927845973,1.765218997666137e-07,0.06812103555871284,0.14996822714128671,4099
Similarity: similarity_gender_mean,clustering,similarity_gender_mean,-0.06239374160307647,0.012312654005714874,4.031832734271935e-07,-0.08652610000838046,-0.03826138319777249,4099
Similarity: similarity_hometown_mean,clustering,similarity_hometown_mean,0.03170023871159835,0.013728064699775755,0.020934943389699777,0.0047937263226022,0.0586067511005945,3879
Similarity: similarity_languages_mean,clustering,similarity_languages_mean,-0.02119802459697809,0.048962208178220466,0.6650535195608165,-0.1171621892298427,0.07476614003588652,3767
Similarity: similarity_last_name_mean,clustering,similarity_last_name_mean,0.2188619439796997,0.03425836090377845,1.6744394034195279e-10,0.1517167904389189,0.28600709752048054,4099
Similarity: similarity_locale_mean,clustering,similarity_locale_mean,-0.09619979700322291,0.010535561329903237,6.789405551467136e-20,-0.11684911776674617,-0.07555047623969965,4099
Similarity: similarity_location_mean,clustering,similarity_location_mean,-0.009308803447088189,0.016734810337933437,0.5780372998215461,-0.0421084289975463,0.02349082210336992,4041
Similarity: similarity_work_mean,clustering,similarity_work_mean,0.186815998646665,0.06730501786105957,0.005508940090662909,0.0549005876601632,0.3187314096331668,4024
Similarity: similarity_first_name_mean,clustering,similarity_first_name_mean,0.2011030594487519,0.1341456849183981,0.13383751497666765,-0.06181765167276626,0.46402377057027006,3042
Similarity: similarity_middle_name_mean,clustering,similarity_middle_name_mean,1.0724497883328756,0.8561105752539842,0.21031487591609066,-0.6054961059488009,2.750395682614552,724
Similarity: similarity_name_mean,clustering,similarity_name_mean,1.1652229444114417,0.36697335666653513,0.0014972040474150203,0.44596838205926104,1.8844775067636224,218
Similarity: similarity_religion_mean,clustering,similarity_religion_mean,1.1469240539268428,4.318609312430898,0.7905648674871629,-7.317394661737004,9.611242769590689,87
Similarity: similarity_political_mean,clustering,similarity_political_mean,0.4030754388699586,1.3716692656382456,0.7688667183659572,-2.2853469204815076,3.0914977982214245,53
Diversity: diversity_complement -> log_betweenness,log_betweenness,diversity_complement,0.017165783332563626,0.0057980773901168,0.0030704121508402208,0.0058017604683587055,0.028529806196768547,4099
Diversity: diversity_complement -> participation_coefficient,participation_coefficient,diversity_complement,0.2922350413178004,0.0400608025554974,2.9913084400186023e-13,0.21371731111725537,0.3707527715183455,4099
Diversity: diversity_category_entropy -> log_betweenness,log_betweenness,diversity_category_entropy,-0.010817103296753564,0.004151220408098803,0.00916694314544475,-0.018953345788514882,-0.002680860804992245,4099
Diversity: diversity_category_entropy -> participation_coefficient,participation_coefficient,diversity_category_entropy,0.22066787510906272,0.047613614624435405,3.577075984300248e-06,0.12734690527139972,0.31398884494672574,4099
Diversity: circle_entropy -> log_betweenness,log_betweenness,circle_entropy,0.006365164645677612,0.0023082429390662135,0.005823095628788474,0.001841091617538951,0.010889237673816273,4099
Diversity: circle_entropy -> participation_coefficient,participation_coefficient,circle_entropy,0.08460794047067992,0.01360246610909789,4.970148408780285e-10,0.057947596795921374,0.11126828414543846,4099
Diversity: outside_dominant_circle_share -> log_betweenness,log_betweenness,outside_dominant_circle_share,0.012695737538847566,0.004198419161635808,0.002495118293269683,0.004466987190038534,0.0209244878876566,4099
